representation,algorithm,rmse,n_pairs,mean_rating_real,mean_score_pred
bin_features+bin_topics,svd,0.7490410894943875,683,0.6486090775988287,0.6635345325283725
bin_features+bin_topics,svd-topic-diversification,0.7507700861939587,220,0.6954545454545454,0.708915132363414
bin_features+bin_topics,svd-mmr-diversification,0.8104156707150069,155,0.5806451612903226,0.6611550100819917
bin_features+bin_topics,knn_item_item,0.9538499713103312,524,0.5076335877862596,0.6984610526463141
bin_features+bin_topics,knn_item_item-topic-diversification,1.0313240980521363,376,0.4574468085106383,0.8893545521319317
bin_features+bin_topics,knn_user_user,1.0559406331114929,683,0.4158125915080527,0.8197136731091966
bin_features+bin_topics,knn_item_item-mmr-diversification,1.0644508403494284,182,0.4285714285714285,0.9525797861171132
bin_features+bin_topics,knn_user_user-mmr-diversification,1.0713525520043758,138,0.427536231884058,0.9419286219240696
bin_features+bin_topics,knn_user_user-topic-diversification,1.3942300075038767,589,-0.0169779286926994,0.9460096450405812
ae_features+ae_topics,svd,0.7490410894943875,683,0.6486090775988287,0.6635345325283725
ae_features+ae_topics,svd-topic-diversification,0.7643488745370306,221,0.6787330316742082,0.7096007145512976
ae_features+ae_topics,svd-mmr-diversification,0.8403563855653261,145,0.5241379310344828,0.6722299238586408
ae_features+ae_topics,knn_item_item,0.9538499713103312,524,0.5076335877862596,0.6984610526463141
ae_features+ae_topics,knn_item_item-mmr-diversification,1.0246809041563425,181,0.4861878453038674,0.9622241235872596
ae_features+ae_topics,knn_item_item-topic-diversification,1.0334826080699429,377,0.4535809018567639,0.8938501091779754
ae_features+ae_topics,knn_user_user-mmr-diversification,1.0357097516786258,132,0.4772727272727273,0.9403896745108152
ae_features+ae_topics,knn_user_user,1.0559406331114929,683,0.4158125915080527,0.8197136731091966
ae_features+ae_topics,knn_user_user-topic-diversification,1.397933861122061,591,-0.027072758037225,0.9431254403040548
ae_features+bin_topics,svd,0.7490410894943875,683,0.6486090775988287,0.6635345325283725
ae_features+bin_topics,svd-topic-diversification,0.7507700861939587,220,0.6954545454545454,0.708915132363414
ae_features+bin_topics,svd-mmr-diversification,0.8403563855653261,145,0.5241379310344828,0.6722299238586408
ae_features+bin_topics,knn_item_item,0.9538499713103312,524,0.5076335877862596,0.6984610526463141
ae_features+bin_topics,knn_item_item-mmr-diversification,1.0246809041563425,181,0.4861878453038674,0.9622241235872596
ae_features+bin_topics,knn_item_item-topic-diversification,1.0313240980521363,376,0.4574468085106383,0.8893545521319317
ae_features+bin_topics,knn_user_user-mmr-diversification,1.0357097516786258,132,0.4772727272727273,0.9403896745108152
ae_features+bin_topics,knn_user_user,1.0559406331114929,683,0.4158125915080527,0.8197136731091966
ae_features+bin_topics,knn_user_user-topic-diversification,1.3942300075038767,589,-0.0169779286926994,0.9460096450405812
bin_features+ae_topics,svd,0.7490410894943875,683,0.6486090775988287,0.6635345325283725
bin_features+ae_topics,svd-topic-diversification,0.7643488745370306,221,0.6787330316742082,0.7096007145512976
bin_features+ae_topics,svd-mmr-diversification,0.8104156707150069,155,0.5806451612903226,0.6611550100819917
bin_features+ae_topics,knn_item_item,0.9538499713103312,524,0.5076335877862596,0.6984610526463141
bin_features+ae_topics,knn_item_item-topic-diversification,1.0334826080699429,377,0.4535809018567639,0.8938501091779754
bin_features+ae_topics,knn_user_user,1.0559406331114929,683,0.4158125915080527,0.8197136731091966
bin_features+ae_topics,knn_item_item-mmr-diversification,1.0644508403494284,182,0.4285714285714285,0.9525797861171132
bin_features+ae_topics,knn_user_user-mmr-diversification,1.0713525520043758,138,0.427536231884058,0.9419286219240696
bin_features+ae_topics,knn_user_user-topic-diversification,1.397933861122061,591,-0.027072758037225,0.9431254403040548
bin_features+bin_topics,svd,0.7490410894943875,683,0.6486090775988287,0.6635345325283725
bin_features+bin_topics,svd-topic-diversification,0.7507700861939587,220,0.6954545454545454,0.708915132363414
bin_features+bin_topics,svd-mmr-diversification,0.8104156707150069,155,0.5806451612903226,0.6611550100819917
bin_features+bin_topics,knn_item_item,0.9538499713103312,524,0.5076335877862596,0.6984610526463141
bin_features+bin_topics,knn_item_item-topic-diversification,1.0313240980521363,376,0.4574468085106383,0.8893545521319317
bin_features+bin_topics,knn_user_user,1.0559406331114929,683,0.4158125915080527,0.8197136731091966
bin_features+bin_topics,knn_item_item-mmr-diversification,1.0644508403494284,182,0.4285714285714285,0.9525797861171132
bin_features+bin_topics,knn_user_user-mmr-diversification,1.0713525520043758,138,0.427536231884058,0.9419286219240696
bin_features+bin_topics,knn_user_user-topic-diversification,1.3942300075038767,589,-0.0169779286926994,0.9460096450405812
